i,c_idx
11,213
11,24
11,214
11,0
11,125
11,126
11,182
1204,39
1204,21
1204,168
1204,215
28,0
28,115
208,0
208,216
208,217
208,74
208,75
428,218
428,24
428,1
428,0
428,3
763,1
763,20
830,32
830,154
830,50
313,59
313,0
762,39
762,66
762,97
1106,27
1106,219
70,220
70,221
70,79
70,82
70,81
70,80
70,65
70,222
70,223
70,203
1229,127
1229,16
1229,1
322,224
322,225
322,1
322,0
322,226
322,227
322,151
1083,9
1083,11
1420,30
1420,0
1420,86
1420,45
976,32
976,154
304,228
304,0
761,24
761,59
761,3
761,1
761,0
761,86
761,218
676,35
676,229
676,27
676,34
1107,0
1107,22
1107,24
973,30
973,230
973,231
973,232
973,142
973,130
973,233
973,158
973,234
973,235
973,143
973,236
973,237
973,238
973,28
973,27
973,141
662,131
662,32
662,208
662,30
662,194
662,193
662,195
662,239
662,48
662,50
845,50
845,32
845,31
68,86
68,227
68,218
68,0
68,240
68,225
68,151
68,3
68,1
1087,154
1087,193
1087,32
1087,194
1159,131
1159,32
1159,30
1353,241
1353,32
1353,242
709,179
709,30
709,16
709,177
247,243
247,21
774,119
774,79
774,112
1385,108
1385,45
1385,110
1385,109
1385,244
1385,30
1058,114
1058,245
1058,24
1058,1
1058,0
1058,22
1058,20
1062,246
1062,34
1062,27
38,59
38,18
38,7
38,0
38,182
38,11
38,9
38,8
1209,247
1209,248
1209,134
1209,249
1209,137
1209,250
1209,251
1209,252
1209,253
1209,139
1209,28
1209,254
1209,27
375,30
375,255
375,256
375,257
375,258
375,16
375,1
375,259
375,240
206,242
206,16
206,32
206,260
206,30
622,0
622,24
622,228
814,79
814,91
814,90
1328,61
1328,1
1328,24
1328,22
1328,59
1328,0
1328,66
1328,152
758,80
758,65
758,82
37,0
37,10
450,190
450,261
450,188
1254,27
1254,34
1254,164
273,16
273,262
924,99
924,0
924,52
808,89
808,79
808,92
808,91
808,88
1114,50
1114,32
326,0
326,1
326,84
326,263
734,1
734,47
734,264
734,265
734,0
734,12
734,10
253,0
253,5
253,132
253,1
253,6
687,266
687,27
806,0
806,267
543,47
543,0
543,268
543,116
1085,65
1085,269
1085,80
1095,52
1095,1
1095,0
1095,3
1095,51
1203,21
1203,166
1190,112
1190,149
1190,30
1190,29
1190,79
163,59
163,12
163,270
163,0
163,1
241,271
241,30
241,272
241,141
241,28
241,207
241,0
1293,1
1293,125
1293,126
62,273
62,0
160,3
160,1
619,0
619,267
379,1
379,152
379,66
379,0
379,268
777,1
777,3
34,274
34,28
34,95
34,94
34,30
392,43
392,63
392,39
514,98
514,97
514,66
514,39
1088,275
1088,89
1088,79
1088,90
1088,276
1088,92
1088,91
1088,277
1273,255
1273,256
1273,257
1273,30
1273,278
1273,258
1273,279
1374,121
1374,79
455,114
455,152
455,245
455,1
455,66
980,1
980,240
809,13
809,0
809,18
809,1
809,24
809,280
809,14
809,176
809,122
1189,12
1189,1
1189,61
1189,24
1189,281
1189,59
1189,51
1189,122
1189,11
1189,9
1189,169
1189,0
858,0
858,33
858,74
40,0
40,33
40,71
1439,282
1439,166
1439,21
679,0
679,33
218,190
218,188
218,261
121,39
121,66
121,98
121,97
121,283
913,22
913,25
913,0
913,86
913,1
287,12
287,0
287,265
287,3
287,240
287,1
1113,0
1113,47
975,95
975,30
975,284
975,65
975,285
1173,58
1173,30
1173,184
1173,286
1173,27
351,267
351,0
894,27
894,229
894,34
461,32
461,50
674,51
674,18
674,76
674,129
674,0
674,11
674,9
1112,30
1112,45
1112,102
1112,109
1112,95
1112,46
1112,108
1308,59
1308,0
1308,3
1308,1
1308,24
1308,122
1245,65
1245,287
1245,288
1245,95
1245,30
1245,289
207,63
629,199
629,200
629,260
629,45
629,171
629,30
629,108
629,16
1428,50
1428,32
1428,48
1428,154
892,228
892,99
892,0
892,12
151,122
151,0
732,112
732,90
732,91
732,79
716,290
716,114
716,1
1446,0
1446,271
1164,0
1164,33
1459,10
1459,0
1181,117
1181,21
1181,23
1419,33
1419,0
1419,291
1419,74
725,27
332,0
332,122
332,11
332,18
332,129
332,116
332,9
332,182
736,58
736,184
736,30
1034,79
1034,292
1169,128
1169,65
771,186
771,28
771,185
771,293
294,294
294,188
1232,32
1232,295
1232,174
1232,79
421,1
421,0
421,47
47,79
47,30
47,45
47,149
47,110
47,29
474,1
474,218
474,3
474,0
474,4
474,86
934,28
934,118
1021,0
1021,33
1383,55
1383,137
1383,27
1383,249
1383,251
1082,296
1082,21
1362,297
1362,190
1362,188
1362,189
1362,192
1154,298
1154,0
410,299
410,27
410,28
410,300
410,219
410,56
1191,0
1191,59
917,301
917,199
917,200
917,45
917,30
855,45
855,108
855,177
855,30
855,62
855,110
855,179
1072,302
1072,27
113,0
113,129
113,1
113,9
113,122
113,11
695,79
695,88
695,89
695,91
695,90
695,276
695,92
658,0
658,12
911,73
911,72
911,9
911,8
911,11
911,0
911,18
1330,12
1330,0
1330,10
1330,132
1330,1
1060,303
1060,0
1060,18
1060,11
1060,9
509,50
509,32
7,122
7,59
7,9
7,11
7,0
650,22
650,24
650,0
650,59
278,304
278,0
278,47
278,270
31,12
31,0
993,240
993,3
993,1
535,32
535,305
1104,168
1104,39
102,291
102,0
102,1
102,75
102,3
102,306
1027,148
1027,79
161,249
161,65
161,80
161,307
161,221
161,27
161,79
161,308
161,309
161,82
161,220
420,310
420,0
528,1
528,132
528,280
528,240
1010,26
1010,27
1126,311
1126,21
681,79
681,112
681,312
87,9
87,11
87,73
87,8
44,20
44,60
44,1
44,176
44,25
44,0
1187,79
1187,313
1187,120
1187,112
637,3
637,0
637,1
637,314
637,24
1241,1
1241,3
704,0
704,228
704,24
689,0
689,12
1227,203
1227,221
1227,202
1227,79
1227,223
1465,315
1465,79
1465,316
393,206
393,32
393,173
393,154
1307,229
1307,27
1307,34
654,65
654,317
654,16
654,318
654,284
1450,0
1450,12
544,319
544,6
544,0
544,5
261,33
261,0
1445,130
1445,320
1100,29
1100,30
1100,149
1100,79
851,0
851,11
851,18
851,9
343,30
343,178
343,58
343,177
343,321
665,12
665,59
665,0
891,0
891,12
864,322
864,30
864,323
864,28
864,62
864,170
864,45
864,324
864,325
1084,0
1084,12
769,197
769,326
769,27
769,34
769,196
467,12
467,0
115,293
115,28
115,186
197,0
197,6
1092,154
1092,32
651,239
651,32
651,50
651,48
430,29
430,30
94,97
94,39
94,66
802,327
802,203
802,309
802,80
802,328
802,329
802,112
802,65
802,330
802,79
802,331
427,332
427,206
427,195
427,32
427,194
427,193
427,333
427,334
1226,335
1226,188
1226,190
1226,187
1226,327
1226,79
1226,112
594,213
594,11
626,89
626,91
626,90
626,79
626,92
1014,10
1014,99
1014,0
1014,12
672,30
672,28
672,184
672,286
672,27
672,336
672,58
672,337
672,134
220,18
220,52
220,0
220,99
220,1
220,47
220,24
220,338
220,51
119,219
119,27
56,3
56,86
56,1
56,339
56,340
56,0
56,59
561,22
561,0
561,10
561,63
561,24
1430,0
1430,47
291,0
291,1
291,113
291,86
291,84
291,114
298,60
298,0
298,52
298,228
1175,31
1175,50
1175,32
1175,194
1175,193
1175,48
546,273
546,84
546,341
546,0
1051,0
1051,12
378,11
378,9
378,0
378,165
378,129
684,27
684,30
684,58
684,184
684,146
684,286
1401,197
1401,27
1401,196
1401,342
1401,326
1401,34
236,343
236,33
236,319
236,0
836,168
836,39
1156,6
1156,99
1156,52
1156,0
1098,0
1098,33
284,267
284,10
284,263
284,0
284,1
457,12
457,0
189,65
189,269
189,80
564,1
564,20
1421,77
1421,120
1421,30
1421,79
1052,18
1052,344
1052,0
1052,263
1052,267
1052,1
1236,345
1236,46
1236,45
1236,30
1236,110
443,294
443,261
443,188
443,346
443,190
1157,347
1157,288
1157,30
1157,65
347,89
347,79
347,348
347,90
347,91
347,92
1049,10
1049,169
1049,0
1049,9
1049,11
1049,12
989,32
989,154
76,9
76,265
76,59
76,10
76,1
76,11
76,0
76,12
114,0
114,122
114,51
114,59
114,24
1047,259
1047,349
1047,104
1047,16
1047,11
1047,350
107,0
107,86
107,339
263,243
263,351
263,21
263,117
1224,176
1224,114
1224,352
1224,225
1224,151
1224,0
1224,1
859,122
859,10
859,0
738,0
486,32
486,50
579,1
579,21
579,25
579,3
579,23
579,24
579,0
106,9
106,129
106,181
106,11
106,72
106,0
106,122
773,24
773,122
773,176
773,60
773,59
773,0
558,31
558,46
558,32
558,30
558,45
621,37
621,353
621,39
752,114
752,245
752,30
752,1
1020,30
1020,25
1020,78
1020,79
1020,1
1020,77
878,296
878,21
878,117
878,354
1388,0
1388,153
1388,18
405,49
405,50
405,32
320,12
320,1
320,0
139,355
139,225
139,0
1197,35
1197,27
1197,34
1197,229
944,27
944,144
944,356
944,279
944,130
944,30
105,0
105,9
105,12
105,11
105,10
92,12
92,18
92,0
92,10
987,143
987,30
987,130
987,356
987,27
987,357
987,144
764,358
764,16
827,3
827,122
827,0
827,1
50,50
50,305
50,32
50,194
404,32
404,50
404,48
167,12
167,0
638,0
638,12
638,1
638,263
566,63
566,359
566,161
608,9
608,349
608,16
608,11
1317,125
1317,126
1317,0
1317,114
1317,1
1317,24
1317,22
1317,360
1317,20
1313,24
1313,12
1313,99
1313,0
796,325
796,361
796,362
796,30
796,101
796,66
796,58
796,177
796,146
796,179
1091,90
1091,91
1091,79
46,304
46,1
46,270
46,0
46,59
506,363
506,364
506,66
506,130
506,27
506,365
1271,27
1271,249
1271,145
472,1
472,0
472,11
472,12
472,9
472,125
472,126
832,366
832,30
832,367
832,368
832,28
832,369
832,130
832,370
726,73
726,11
726,9
937,95
937,30
937,371
937,65
785,66
785,152
785,1
785,98
683,228
683,0
683,12
683,18
1148,9
1148,11
1148,72
285,5
285,6
285,0
603,24
603,12
603,0
603,99
1125,372
1125,130
1402,364
1402,27
1402,30
1402,58
1402,184
1402,286
1267,0
1267,59
1267,24
1048,95
1048,65
1048,30
1048,373
1456,52
1456,1
1456,51
1456,3
1456,0
994,3
994,1
994,100
517,1
517,125
517,126
517,374
517,98
517,66
517,9
517,11
171,10
171,1
171,11
171,12
171,9
171,8
171,125
171,126
171,0
407,1
407,3
691,74
691,11
691,0
691,375
691,73
691,9
438,50
438,32
438,154
334,114
334,1
334,376
334,0
334,113
88,6
88,0
88,204
88,5
986,75
986,0
986,33
986,6
986,5
812,39
812,114
812,1
812,96
812,43
8,97
8,66
8,152
8,39
1067,344
1067,0
1067,273
1067,377
1067,84
1067,341
645,229
645,27
645,164
645,35
645,34
23,1
23,0
23,4
503,80
503,329
503,328
503,112
503,79
503,65
503,202
503,327
503,269
1249,32
1249,154
1249,378
73,122
73,9
73,11
73,73
73,0
1290,12
1290,0
1290,18
1290,228
387,11
387,350
387,165
387,129
387,181
387,16
387,1
387,0
387,19
387,9
387,125
387,126
1075,379
1075,30
69,0
69,51
69,122
69,1
69,18
69,11
69,9
69,8
69,13
966,0
966,12
932,0
932,11
932,73
932,9
1367,12
1367,0
1367,24
1367,228
1025,30
1025,1
1025,77
1025,25
21,31
21,32
168,1
168,380
168,267
168,273
168,0
168,344
381,58
381,101
381,30
381,381
1440,84
1440,115
1440,0
1440,116
52,32
52,193
52,194
52,206
1372,382
1372,383
581,6
581,74
581,0
523,206
523,32
523,179
523,384
523,177
523,30
523,58
523,305
523,131
523,385
488,237
488,356
488,27
488,357
488,130
262,30
262,28
262,142
262,141
262,123
1145,0
1145,7
1152,386
1152,39
1152,387
1152,161
1132,388
1132,389
1132,161
1132,28
1053,208
1053,50
1053,48
1053,32
946,206
946,154
946,32
946,173
946,50
1422,99
1422,12
1422,51
1422,0
1059,1
1059,263
1059,304
1059,24
1059,0
1059,51
1059,390
627,391
627,101
627,30
627,58
627,301
670,392
670,6
670,226
670,0
670,18
670,33
670,47
359,1
359,3
713,252
713,30
713,27
713,393
713,141
713,28
713,230
1195,267
1195,0
532,0
532,3
532,1
532,59
532,24
1046,394
1046,9
1046,11
1046,18
1046,0
93,4
93,1
1286,395
1286,383
1166,34
1166,164
1166,396
1166,27
1230,150
1230,0
316,189
316,188
316,190
316,192
930,114
930,1
930,360
1281,0
1281,12
356,301
356,30
442,154
442,32
442,173
1457,52
1457,0
1457,1
1457,3
1457,51
283,16
283,30
283,397
230,255
230,256
230,257
230,398
230,30
1277,62
1277,30
345,11
345,0
345,72
345,9
345,399
778,0
778,12
557,122
557,0
557,1
889,154
889,32
549,0
549,10
549,24
79,0
79,10
79,12
79,47
565,56
565,365
565,152
565,130
565,27
565,400
565,66
959,292
959,79
182,0
182,228
182,24
182,183
182,63
1228,333
1228,80
1228,82
1228,65
1228,32
1228,81
869,193
869,32
869,194
869,206
869,401
1413,302
1413,27
1413,402
1413,403
1384,53
1384,57
1384,28
1384,55
1384,27
1384,249
1234,32
1234,154
792,404
792,0
792,33
792,71
1194,310
1194,0
5,104
5,16
5,11
5,405
1119,32
1119,50
350,213
350,1
350,263
350,11
1282,9
1282,406
1282,66
1282,11
1282,16
1282,72
1282,407
1282,365
1282,375
824,82
824,80
824,81
824,408
824,309
824,65
1323,267
1323,9
1323,0
1323,74
1323,73
1323,11
1323,13
1323,380
828,409
828,158
828,365
828,66
828,231
399,249
399,27
399,58
399,410
399,26
399,411
399,30
399,145
499,32
499,173
499,331
499,79
539,301
539,199
539,200
539,30
539,45
537,10
537,228
537,0
537,24
279,0
279,9
279,122
279,11
831,82
831,79
831,65
831,80
831,32
831,81
1120,32
1120,154
804,125
804,126
804,1
4,1
4,86
4,3
4,0
895,351
895,412
895,21
1436,18
1436,0
1436,33
525,161
525,359
130,249
130,139
130,27
130,413
130,414
162,2
162,240
162,1
162,218
490,1
978,1
978,122
978,175
978,0
978,18
612,1
612,9
612,240
612,11
612,415
146,28
146,141
146,142
146,230
146,130
146,30
1065,50
1065,32
825,122
825,20
825,114
825,416
825,1
825,0
1324,296
1324,21
793,0
793,151
280,30
280,272
1050,417
1050,130
1050,238
1050,418
1050,419
1050,197
1050,420
1050,421
1050,21
1050,28
963,12
963,0
13,11
13,0
13,122
13,9
13,129
419,249
419,27
419,422
419,139
419,413
419,28
419,423
1468,406
1468,11
1033,39
1033,66
1033,97
1409,30
1409,103
1409,101
1409,424
1409,66
416,50
416,32
222,0
222,291
178,50
178,305
178,32
701,79
701,425
701,112
1343,196
1343,62
1343,426
1343,30
1343,427
1343,197
854,0
854,151
1178,398
1178,255
1178,256
1178,257
1178,30
243,347
243,231
243,158
243,65
510,154
510,32
1386,50
1386,401
1386,49
1386,32
1386,198
451,84
451,0
1365,218
1365,1
1365,51
1365,0
1365,24
110,193
110,50
110,31
110,194
110,32
1121,154
1121,32
140,0
140,1
140,4
972,84
972,116
972,0
470,18
470,24
470,0
246,0
246,151
526,1
526,428
526,263
526,114
998,30
998,206
998,131
998,50
998,32
12,75
12,0
730,30
730,79
730,77
730,78
468,107
468,28
721,3
721,339
721,4
721,86
721,1
721,0
1028,52
1028,1
1028,0
1028,3
1028,51
903,34
903,27
903,35
301,263
301,225
301,1
301,428
301,24
301,429
301,430
301,0
655,66
655,431
600,192
600,189
600,190
600,188
600,432
444,74
444,298
444,24
444,0
444,268
444,22
444,1
444,132
444,122
444,59
444,226
444,18
1334,243
1334,117
1334,21
1334,433
1037,265
1037,0
1037,86
1037,1
1037,3
536,1
536,0
536,20
536,22
536,114
536,352
42,152
42,86
42,66
42,1
42,83
42,4
42,0
42,132
542,10
542,12
542,0
1186,12
1186,98
1186,434
1186,16
1186,66
1186,365
1186,0
1186,65
1186,435
1186,436
272,5
272,0
272,6
143,11
143,9
143,0
143,18
1137,152
1137,66
256,227
256,114
256,225
256,0
256,151
256,352
256,176
256,60
256,113
256,1
484,1
484,22
484,125
484,126
484,0
108,240
108,3
108,1
1094,12
1094,10
1094,24
1094,0
529,283
529,63
529,152
529,66
1032,437
1032,30
921,296
921,354
921,21
921,117
302,0
302,129
302,11
302,9
302,47
1170,27
1170,438
1170,28
1170,56
760,263
760,1
760,83
760,428
1264,86
1264,0
746,439
746,440
746,118
746,28
746,98
746,158
746,66
746,231
240,195
240,441
240,131
240,194
240,305
240,174
240,30
240,32
240,206
240,223
240,50
240,79
935,30
935,58
935,184
877,59
877,18
877,122
877,0
877,72
877,9
877,11
1363,28
1363,27
1363,266
1363,438
923,58
923,179
923,184
923,177
923,171
923,30
847,115
847,0
425,12
425,0
425,10
238,0
238,270
238,304
1349,92
1349,276
1349,88
1349,79
1349,91
1080,113
1080,1
1080,114
1080,442
1080,20
1080,443
571,76
571,11
571,9
571,72
571,350
571,16
1147,81
1147,82
1147,220
1147,65
1147,444
1147,80
129,361
129,101
129,179
129,177
129,30
129,66
10,14
10,75
10,0
10,13
250,73
250,0
250,74
250,267
250,273
250,11
250,9
1220,0
1220,225
1220,445
1220,429
1305,218
1305,1
1305,2
646,446
646,27
646,447
844,122
844,59
844,0
844,24
500,267
500,0
500,9
500,87
500,11
431,1
431,448
431,263
431,428
431,0
656,5
656,6
656,0
203,9
203,310
203,11
203,169
203,0
1029,3
1029,100
1029,61
1029,1
614,114
614,30
614,58
614,147
614,1
1299,21
1299,351
1299,243
1299,433
1299,412
1299,117
862,53
862,449
862,130
862,27
862,251
862,450
862,28
862,400
862,56
1326,267
1326,0
1326,12
179,451
179,79
179,331
179,223
1348,0
1348,59
1373,1
1373,66
1373,152
1373,263
871,140
871,28
871,141
871,142
871,279
871,30
706,187
706,261
706,188
706,192
706,190
30,4
30,1
235,0
235,429
235,390
235,4
235,1
235,270
235,304
1368,190
1368,452
1368,30
1368,77
1368,188
1368,79
1368,78
970,453
970,446
970,447
970,27
578,454
578,455
578,30
578,255
578,256
578,257
1242,447
1242,27
1242,456
1295,457
1295,52
1295,33
1295,3
1295,1
1295,0
1295,75
331,0
331,51
331,11
331,125
331,126
331,122
331,9
331,1
331,76
331,72
292,458
292,267
292,87
292,380
292,0
982,92
982,88
982,91
982,79
982,275
982,90
829,28
829,141
66,74
66,459
66,122
66,0
66,291
66,7
66,319
66,204
66,6
1417,460
1417,117
1417,296
1417,21
1417,354
1139,151
1139,0
1139,176
1139,226
593,66
593,97
593,39
593,98
1382,131
1382,32
1382,30
1380,267
1380,0
339,3
339,59
339,255
339,256
339,257
339,398
339,461
339,61
339,30
339,24
339,0
339,1
1437,0
1437,132
1437,281
1437,1
1437,429
1200,9
1200,73
1200,72
1200,11
315,106
315,28
1182,0
1182,6
1182,5
1002,34
1002,229
1002,326
1002,35
1002,27
1403,148
1403,121
1403,79
1403,203
1403,462
300,39
300,67
300,43
300,96
328,20
328,463
328,114
328,1
703,375
703,16
703,9
703,350
703,11
703,415
703,73
1,225
1,227
1,0
1,151
743,0
743,267
1115,31
1115,32
906,100
906,1
906,3
906,0
497,464
497,1
1108,359
1108,65
1108,465
1108,161
837,171
837,30
837,45
837,301
837,62
837,199
837,200
229,24
229,1
229,51
229,0
229,60
229,132
1009,98
1009,0
1009,65
1009,66
1009,284
1009,466
1009,467
1009,308
1009,468
1130,419
1130,130
1130,469
1130,238
1297,27
1297,402
1297,137
1297,414
1297,249
1297,302
881,304
881,390
881,0
881,52
1390,177
1390,178
1390,66
1390,470
1390,30
195,380
195,0
195,267
639,30
639,171
493,60
493,0
493,306
493,74
493,75
493,86
1352,267
1352,0
1352,86
1352,59
1352,10
641,364
641,28
641,400
641,53
641,251
641,130
641,27
641,56
352,32
352,65
352,79
352,329
352,173
435,1
435,3
587,79
587,121
587,203
587,331
865,62
865,30
685,101
685,471
685,260
685,30
685,16
418,328
418,331
418,112
418,79
418,119
418,313
754,32
754,154
122,63
122,240
122,1
816,79
816,329
177,276
177,92
177,79
177,91
177,90
177,32
177,334
912,28
912,293
912,186
446,366
446,388
446,130
446,421
446,28
446,369
1218,27
1218,26
174,1
174,0
174,25
174,22
174,3
174,24
78,24
78,0
78,228
1044,0
1044,122
1044,10
1054,30
1054,144
1054,472
1054,279
1235,0
1235,1
1235,12
1294,12
1294,152
1294,10
1294,473
1294,66
1294,0
214,154
214,32
985,0
985,22
985,10
173,0
173,474
198,21
198,63
198,65
198,359
198,161
377,129
377,11
377,9
377,72
1298,152
1298,66
1298,86
1298,176
1298,0
1298,24
245,65
245,213
245,20
245,429
245,114
245,122
245,475
245,86
245,1
245,11
245,0
245,3
245,476
1412,27
1412,477
1412,478
1412,28
1412,479
852,132
852,1
382,8
382,9
382,11
135,24
135,14
135,228
135,66
135,59
135,0
135,152
196,39
196,168
553,0
887,0
887,18
573,231
573,66
573,280
573,480
573,409
573,30
573,481
573,130
573,1
573,101
573,158
1116,28
1116,299
872,21
872,296
872,482
872,483
787,66
787,0
787,97
787,39
252,11
252,0
252,169
252,8
252,182
252,9
252,122
252,73
61,218
61,1
61,304
61,270
61,0
61,24
582,146
582,184
582,30
582,484
582,485
582,58
582,27
1016,246
1016,229
1016,35
1016,34
1016,27
237,10
237,0
1018,22
1018,228
1018,0
1018,24
623,354
623,117
623,21
480,79
480,91
480,90
1393,486
1393,45
1393,30
1393,199
1393,200
1393,301
1393,487
879,32
879,50
65,291
65,0
1442,3
1442,1
1442,52
1442,0
1442,51
1391,488
1391,39
1391,37
789,59
789,18
789,0
1184,451
1184,331
1184,79
747,1
747,443
747,263
747,132
747,47
747,183
747,113
747,24
747,268
747,114
747,0
1398,190
1398,188
1398,261
1398,187
213,27
213,55
213,302
213,249
1005,9
1005,169
1005,11
1005,125
1005,126
1005,63
1005,1
97,1
97,83
97,132
97,4
335,30
335,255
335,256
335,257
335,489
530,154
530,32
811,359
811,16
811,161
811,69
1331,490
1331,0
880,130
880,491
880,370
880,369
880,28
880,30
660,394
660,76
660,350
660,9
660,11
660,16
720,125
720,126
720,1
882,9
882,122
882,11
882,0
1079,50
1079,32
1079,492
1079,493
1079,494
1079,158
1079,231
482,0
482,122
482,13
482,24
482,304
406,9
406,1
406,122
406,0
406,11
406,125
406,126
596,184
596,30
596,58
708,22
708,24
708,0
708,13
463,51
463,13
463,12
463,0
956,177
956,178
956,30
1211,7
1211,298
1211,0
429,24
429,122
429,0
893,0
893,30
893,62
893,66
893,132
893,4
893,152
893,1
1332,1
1332,495
1332,4
1332,3
501,0
501,267
700,131
700,154
700,50
700,32
700,30
700,31
896,166
896,39
896,215
896,168
896,21
165,18
165,9
165,11
165,0
165,214
165,182
165,59
165,459
1001,366
1001,369
1001,496
1001,28
1001,130
1288,51
1288,0
1288,99
1288,52
1288,490
1358,154
1358,194
1358,193
1358,32
57,144
57,230
57,30
57,279
782,1
782,280
782,0
782,10
157,1
157,3
157,86
157,13
157,24
157,5
157,0
157,59
138,72
138,11
138,76
138,129
138,9
1131,33
1131,1
1131,2
1131,0
1131,497
1131,71
324,79
324,149
26,0
26,24
26,338
26,13
274,206
274,32
274,173
274,174
274,441
274,79
274,194
131,116
131,459
131,0
1443,27
1443,479
1443,477
15,1
15,0
15,4
995,360
995,1
995,114
1231,298
1231,0
1231,18
838,58
838,286
838,57
838,484
838,55
838,54
838,30
838,27
838,498
688,75
688,0
1302,72
1302,98
1302,66
1302,11
1302,9
74,18
74,59
74,0
74,175
1041,74
1041,12
1041,13
1041,0
1041,33
1379,499
1379,84
1379,267
1379,0
585,47
585,0
585,374
585,500
585,1
1269,28
1269,186
1269,293
