u,deg_inter
1089,8
1090,17
1091,2
1092,21
1093,41
1094,9
1095,13
1096,12
1097,4
1098,13
1099,8
1100,8
1101,28
1102,4
1103,3
1104,1
1105,62
1106,24
1107,31
1108,1
1109,15
1110,1
1111,27
1112,173
1113,187
1114,5
1115,22
1116,1
1117,3
1118,8
1119,1
1120,1
1121,8
1122,1
1123,2
1124,82
1125,6
1126,2
1127,6
1128,9
1129,13
1130,1
1131,1
1132,25
1133,31
1134,24
1135,2
1136,5
1137,10
1138,10
1139,7
1140,2
1141,1
1142,13
1143,5
1144,111
1145,5
1146,2
1147,2
1148,5
1149,93
1150,53
1151,11
1152,50
1153,3
1154,4
1155,2
1156,1
1157,1
1158,32
1159,205
1160,31
1161,2
1162,44
1163,7
1164,65
1165,49
1166,18
1167,4
1168,1
1169,22
1170,1
1171,2
1172,64
1173,6
1174,2
1175,14
1176,10
1177,15
1178,6
1179,9
1180,5
1181,4
1182,3
1183,3
1184,1
1185,3
1186,13
1187,3
1188,2
1189,5
1190,1
1191,1
1192,31
1193,6
1194,2
1195,7
1196,157
1197,29
1198,7
1199,14
1200,3
1201,1
1202,1
1203,3
1204,15
1205,76
1206,10
1207,27
1208,6
1209,1
1210,1
1211,2
1212,1
1213,3
1214,1
1215,118
1216,21
1217,64
1218,1
1219,1
1220,1
1221,11
1222,9
1223,67
1224,8
1225,66
1226,5
1227,1
1228,1
1229,15
1230,3
1231,1
1232,32
1233,1
1234,6
1235,7
1236,27
1237,3
1238,3
1239,7
1240,19
1241,1
1242,24
1243,6
1244,81
1245,1
1246,2
1247,51
1248,1
1249,4
1250,33
1251,3
1252,4
1253,1
1254,9
1255,6
1256,1
1257,9
1258,35
1259,1
1260,11
1261,11
1262,14
1263,1
1264,33
1265,79
1266,1
1267,130
1268,76
1269,9
1270,3
1271,1
1272,2
1273,200
1274,8
1275,2
1276,2
1277,2
1278,1
1279,52
1280,46
1281,5
1282,152
1283,5
1284,1
1285,5
1286,1
1287,1
1288,2
1289,8
1290,15
1291,69
1292,37
1293,92
1294,15
1295,4
1296,1
1297,12
1298,2
1299,37
1300,1
1301,2
1302,13
1303,52
1304,110
1305,3
1306,14
1307,38
1308,81
1309,11
1310,1
1311,6
1312,1
1313,12
1314,150
1315,3
1316,4
1317,2
1318,16
1319,70
1320,6
1321,7
1322,2
1323,4
1324,18
1325,6
1326,1
1327,7
1328,3
1329,33
1330,7
1331,16
1332,1
1333,5
1334,3
1335,13
1336,8
1337,1
1338,2
1339,5
1340,66
1341,7
1342,2
1343,1
1344,31
1345,34
1346,2
1347,3
1348,1
1349,17
1350,1
1351,1
1352,6
1353,8
1354,6
1355,1
1356,91
1357,1
1358,2
1359,2
1360,9
1361,2
1362,1
1363,3
1364,3
1365,7
1366,18
1367,7
1368,2
1369,1
1370,10
1371,3
1372,5
1373,2
1374,14
1375,26
1376,18
1377,3
1378,1
1379,17
1380,24
1381,81
1382,12
1383,2
1384,1
1385,13
1386,51
1387,4
1388,1
1389,1
1390,5
1391,12
1392,1
1393,11
1394,1
1395,6
1396,63
1397,1
1398,4
1399,1
1400,2
1401,10
1402,3
1403,33
1404,5
1405,51
1406,3
1407,2
1408,4
1409,121
1410,3
1411,15
1412,5
1413,4
1414,83
1415,8
1416,18
1417,6
1418,8
1419,6
1420,1
1421,1
1422,2
1423,19
1424,2
1425,3
1426,3
1427,11
1428,17
1429,54
1430,1
1431,5
1432,9
1433,5
1434,4
1435,11
1436,4
1437,5
1438,3
1439,27
1440,3
1441,1
1442,1
1443,6
1444,21
1445,22
1446,1
1447,7
1448,8
1449,4
1450,1
1451,5
1452,1
1453,4
1454,54
1455,4
1456,2
1457,5
1458,4
1459,7
1460,4
1461,6
1462,1
1463,72
1464,15
1465,115
1466,5
1467,8
1468,1
1469,4
1470,5
1471,21
1472,18
1473,23
1474,1
1475,1
1476,7
1477,14
1478,197
1479,1
1480,4
1481,23
1482,4
1483,15
1484,49
1485,1
1486,10
1487,5
1488,4
1489,9
1490,1
1491,52
1492,24
1493,31
1494,1
1495,1
1496,8
1497,1
1498,15
1499,61
1500,4
1501,1
1502,2
1503,69
1504,6
1505,2
1506,24
1507,1
1508,3
1509,6
1510,18
1511,6
1512,4
1513,39
1514,33
1515,4
1516,12
1517,6
1518,1
1519,3
1520,8
1521,12
1522,9
1523,1
1524,5
1525,2
1526,14
1527,101
1528,3
1529,25
1530,2
1531,1
1532,79
1533,2
1534,59
1535,22
1536,3
1537,1
1538,17
1539,11
1540,33
1541,18
1542,13
1543,70
1544,2
1545,3
1546,2
1547,1
1548,1
1549,6
1550,5
1551,4
1552,45
1553,60
1554,15
1555,5
1556,8
1557,1
1558,13
1559,2
1560,2
1561,10
1562,30
1563,5
1564,10
1565,2
1566,35
1567,11
1568,1
1569,11
1570,2
1571,1
1572,2
1573,16
1574,60
1575,2
1576,50
1577,3
1578,1
1579,43
1580,38
1581,9
1582,8
1583,3
1584,1
1585,17
1586,5
1587,17
1588,19
1589,5
1590,8
1591,2
1592,15
1593,3
1594,1
1595,1
1596,5
1597,2
1598,4
1599,88
1600,2
1601,6
1602,5
1603,14
1604,42
1605,1
1606,1
1607,106
1608,23
1609,8
1610,6
1611,44
1612,5
1613,1
1614,5
1615,66
1616,8
1617,9
1618,2
1619,2
1620,4
1621,4
1622,87
1623,92
1624,1
1625,2
1626,8
1627,1
1628,3
1629,92
1630,1
1631,31
1632,24
1633,1
1634,34
1635,2
1636,4
1637,1
1638,1
1639,6
1640,12
1641,15
1642,16
1643,3
1644,5
1645,4
1646,108
1647,46
1648,7
1649,65
1650,4
1651,5
1652,19
1653,5
1654,11
1655,3
1656,73
1657,1
1658,109
1659,1
1660,25
1661,18
1662,3
1663,7
1664,24
1665,2
1666,16
1667,105
1668,2
1669,1
1670,19
1671,1
1672,1
1673,7
1674,51
1675,6
1676,1
1677,7
1678,1
1679,95
1680,30
1681,34
1682,2
1683,55
1684,14
1685,6
1686,5
1687,36
1688,2
1689,3
1690,1
1691,5
1692,106
1693,27
1694,20
1695,64
1696,3
1697,2
1698,1
1699,7
1700,6
1701,4
1702,45
1703,18
1704,10
1705,87
1706,1
1707,79
1708,1
1709,60
1710,67
1711,4
1712,14
1713,8
1714,10
1715,1
1716,34
1717,3
1718,1
1719,28
1720,2
1721,7
1722,22
1723,17
1724,1
1725,6
1726,8
1727,4
1728,115
1729,232
1730,41
1731,3
1732,16
1733,1
1734,6
1735,1
1736,2
1737,125
1738,134
1739,23
1740,12
1741,6
1742,2
1743,1
1744,2
1745,5
1746,3
1747,1
1748,5
1749,10
1750,6
1751,12
1752,2
1753,30
1754,3
1755,23
1756,5
1757,3
1758,3
1759,7
1760,1
1761,1
1762,3
1763,10
1764,6
1765,31
1766,1
1767,8
1768,1
1769,11
1770,141
1771,2
1772,8
1773,4
1774,8
1775,1
1776,5
1777,111
1778,15
1779,1
1780,4
1781,16
1782,1
1783,6
1784,8
1785,1
1786,12
1787,6
1788,16
1789,7
1790,3
1791,2
1792,9
1793,15
1794,5
1795,1
1796,2
1797,7
1798,43
1799,8
1800,1
1801,1
1802,3
1803,2
1804,7
1805,2
1806,4
1807,55
1808,1
1809,125
1810,3
1811,117
1812,5
1813,11
1814,2
1815,41
1816,1
1817,2
1818,3
1819,9
1820,51
1821,3
1822,7
1823,18
1824,55
1825,14
1826,4
1827,2
1828,12
1829,6
1830,60
1831,3
1832,122
1833,6
1834,1
1835,11
1836,1
1837,25
1838,5
1839,25
1840,5
1841,1
1842,11
1843,2
1844,69
1845,2
1846,13
1847,40
1848,3
1849,1
1850,117
1851,27
1852,4
1853,1
1854,2
1855,120
1856,56
1857,1
1858,83
1859,45
1860,1
1861,87
1862,11
1863,1
1864,10
1865,9
1866,2
1867,1
1868,439
1869,31
1870,17
1871,25
1872,14
1873,1
1874,2
1875,2
1876,105
1877,1
1878,6
1879,37
1880,8
1881,91
1882,1
1883,1
1884,86
1885,1
1886,5
1887,1
1888,7
1889,1
1890,1
1891,2
1892,17
1893,102
1894,1
1895,4
1896,7
1897,87
1898,5
1899,8
1900,2
1901,1
1902,3
1903,1
1904,12
1905,3
1906,1
1907,16
1908,9
1909,1
1910,80
1911,4
1912,10
1913,2
1914,73
1915,4
1916,44
1917,3
1918,29
1919,1
1920,1
1921,2
1922,2
1923,1
1924,48
1925,77
1926,1
1927,283
1928,4
1929,7
1930,11
1931,1
1932,22
1933,1
1934,6
1935,2
1936,1
1937,1
1938,2
1939,51
1940,39
1941,4
1942,3
1943,2
1944,1
1945,1
1946,37
1947,24
1948,3
1949,24
1950,15
1951,25
1952,56
1953,30
1954,30
1955,3
1956,2
1957,1
1958,13
1959,1
1960,15
1961,17
1962,10
1963,15
1964,1
1965,5
1966,46
1967,21
1968,2
1969,94
1970,4
1971,2
1972,1
1973,2
1974,4
1975,4
1976,3
1977,27
1978,4
1979,23
1980,57
1981,5
1982,27
1983,1
1984,24
1985,18
1986,3
1987,3
1988,1
1989,41
1990,4
1991,17
1992,1
1993,36
1994,38
1995,5
1996,18
1997,10
1998,28
1999,8
2000,6
2001,7
2002,60
2003,8
2004,16
2005,84
2006,5
2007,1
2008,23
2009,19
2010,197
2011,1
2012,2
2013,99
2014,29
2015,29
2016,231
2017,2
2018,1
2019,12
2020,1
2021,11
2022,1
2023,4
2024,8
2025,1
2026,57
2027,1
2028,8
2029,1
2030,11
2031,16
2032,7
2033,3
2034,2
2035,3
2036,2
2037,3
2038,1
2039,54
2040,92
2041,41
2042,26
2043,4
2044,28
2045,5
2046,1
2047,5
2048,13
2049,60
2050,1
2051,3
2052,124
2053,3
2054,39
2055,1
2056,40
2057,9
2058,17
2059,19
2060,1
2061,10
2062,102
2063,2
2064,6
2065,5
2066,2
2067,12
2068,1
2069,4
2070,1
2071,39
2072,11
2073,66
2074,388
2075,9
2076,6
2077,6
2078,8
2079,3
2080,10
2081,2
2082,8
2083,1
2084,3
2085,4
2086,31
2087,52
2088,1
2089,1
2090,9
2091,7
2092,8
2093,1
2094,12
2095,1
2096,3
2097,84
2098,3
2099,15
2100,1
2101,1
2102,3
2103,6
2104,67
2105,23
2106,14
2107,5
2108,21
2109,41
2110,40
2111,2
2112,69
2113,3
2114,4
2115,2
2116,27
2117,4
2118,23
2119,1
2120,3
2121,7
2122,17
2123,1
2124,10
2125,7
2126,2
2127,7
2128,7
2129,212
2130,1
2131,4
2132,11
2133,3
2134,8
2135,7
2136,7
2137,5
2138,1
2139,2
2140,28
2141,16
2142,7
2143,137
2144,4
2145,15
2146,12
2147,17
2148,101
2149,4
2150,10
2151,47
2152,2
2153,3
2154,68
2155,2
2156,7
2157,3
2158,15
2159,25
2160,130
2161,1
2162,21
2163,41
2164,14
2165,1
2166,11
2167,3
2168,2
2169,23
2170,1
2171,4
2172,49
2173,1
2174,21
2175,3
2176,2
2177,6
2178,129
2179,2
2180,6
2181,1
2182,8
2183,6
2184,1
2185,1
2186,11
2187,4
2188,1
2189,7
2190,2
2191,5
2192,4
2193,4
2194,31
2195,26
2196,3
2197,1
2198,1
2199,4
2200,1
2201,8
2202,1
2203,2
2204,2
2205,31
2206,1
2207,6
2208,3
2209,21
2210,1
2211,1
2212,2
2213,7
2214,10
2215,13
2216,1
2217,6
2218,10
2219,1
2220,1
2221,1
2222,247
2223,43
2224,6
2225,1
2226,39
2227,7
2228,71
2229,2
2230,1
2231,84
2232,51
2233,4
2234,1
2235,18
2236,6
2237,1
2238,2
2239,5
2240,5
2241,93
2242,5
2243,1
2244,1
2245,2
2246,6
2247,11
2248,8
2249,3
2250,11
2251,11
2252,273
2253,10
2254,1
2255,1
2256,11
2257,1
2258,29
2259,38
2260,17
2261,1
2262,1
2263,16
2264,5
2265,3
2266,10
2267,7
2268,30
2269,25
2270,6
2271,2
2272,2
2273,68
2274,16
2275,3
2276,1
2277,2
2278,13
2279,2
2280,3
2281,2
2282,55
2283,1
2284,121
2285,3
2286,2
2287,1
2288,11
2289,14
2290,12
2291,1
2292,1
2293,3
2294,14
2295,26
2296,27
2297,2
2298,6
2299,1
2300,43
2301,5
2302,9
2303,1
2304,7
2305,19
2306,1
2307,4
2308,8
2309,10
2310,23
2311,18
2312,19
2313,4
2314,85
2315,1
2316,1
2317,1
2318,1
2319,35
2320,10
2321,37
2322,122
2323,5
2324,6
2325,2
2326,3
2327,6
2328,2
2329,1
2330,1
2331,2
2332,3
2333,16
2334,51
2335,4
2336,18
2337,59
2338,76
2339,3
2340,2
2341,14
2342,35
2343,2
2344,4
2345,2
2346,28
2347,2
2348,3
2349,1
2350,2
2351,2
2352,2
2353,1
2354,1
2355,1
2356,2
2357,2
2358,123
2359,9
2360,11
2361,2
2362,10
2363,65
2364,1
2365,17
2366,29
2367,11
2368,16
2369,4
2370,39
2371,1
2372,1
2373,7
2374,40
2375,25
2376,11
2377,88
2378,7
2379,1
2380,90
2381,103
2382,5
2383,30
2384,2
2385,20
2386,62
2387,10
2388,7
2389,1
2390,6
2391,9
2392,1
2393,48
2394,1
2395,2
2396,1
2397,1
2398,35
2399,59
2400,13
2401,6
2402,2
2403,1
2404,159
2405,3
2406,31
2407,2
2408,43
2409,29
2410,18
2411,1
2412,5
2413,11
2414,1
2415,34
2416,74
2417,5
2418,10
2419,1
2420,34
2421,2
2422,2
2423,1
2424,12
2425,1
2426,1
2427,1
2428,1
2429,3
2430,3
2431,10
2432,3
2433,1
2434,6
2435,170
2436,3
2437,2
2438,1
2439,14
2440,43
2441,15
2442,21
2443,6
2444,1
2445,2
2446,1
2447,17
2448,171
2449,10
2450,1
2451,97
2452,18
2453,4
2454,7
2455,7
2456,1
2457,21
2458,1
2459,2
2460,12
2461,1
2462,21
2463,25
2464,4
2465,22
2466,1
2467,15
2468,205
2469,91
2470,20
2471,3
2472,28
2473,4
2474,8
2475,4
2476,7
2477,34
2478,6
2479,13
2480,2
2481,4
2482,7
2483,58
2484,4
2485,13
2486,1
2487,10
2488,2
2489,6
2490,1
2491,1
2492,2
2493,82
2494,25
2495,1
2496,1
2497,2
2498,14
2499,18
2500,1
2501,9
2502,2
2503,1
2504,4
2505,5
2506,1
2507,15
2508,3
2509,16
2510,32
2511,8
2512,2
2513,16
2514,15
2515,12
2516,11
2517,31
2518,1
2519,21
2520,44
2521,8
2522,1
2523,1
2524,3
2525,2
2526,7
2527,1
2528,5
2529,1
2530,13
2531,10
2532,8
2533,3
2534,1
2535,3
2536,1
2537,138
2538,14
2539,2
2540,66
2541,4
2542,2
2543,3
2544,8
2545,2
2546,1
2547,32
2548,1
2549,7
2550,6
2551,11
2552,96
2553,2
2554,45
2555,3
2556,3
2557,1
2558,21
2559,1
2560,1
2561,2
2562,7
2563,7
2564,95
2565,3
2566,130
2567,6
2568,7
2569,49
2570,2
2571,23
2572,2
2573,6
2574,5
2575,3
2576,2
2577,43
2578,2
2579,18
2580,4
2581,2
2582,1
2583,46
2584,53
2585,1
2586,1
2587,8
2588,9
2589,50
2590,14
2591,1
2592,2
2593,73
2594,116
2595,3
2596,11
2597,5
2598,7
2599,3
2600,9
2601,204
2602,81
2603,9
2604,1
2605,59
2606,1
2607,10
2608,16
2609,54
2610,9
2611,1
2612,66
2613,34
2614,2
2615,54
2616,11
2617,3
2618,43
2619,2
2620,13
2621,14
2622,4
2623,84
2624,4
2625,1
2626,6
2627,150
2628,33
2629,6
2630,11
2631,2
2632,66
2633,1
2634,17
2635,3
2636,2
2637,9
2638,163
2639,7
2640,3
2641,3
2642,13
2643,6
2644,2
2645,1
2646,4
2647,7
2648,1
2649,3
2650,69
2651,1
2652,1
2653,1
2654,1
2655,15
2656,55
2657,8
2658,2
2659,3
2660,25
2661,2
2662,109
2663,2
2664,11
2665,1
2666,1
2667,2
2668,12
2669,30
2670,10
2671,53
2672,33
2673,38
2674,3
2675,11
2676,3
2677,2
2678,1
2679,8
2680,1
2681,100
2682,57
2683,3
2684,42
2685,63
2686,1
2687,12
2688,10
2689,2
2690,1
2691,5
2692,7
2693,142
2694,1
2695,3
2696,1
2697,1
2698,1
2699,77
2700,1
2701,16
2702,12
2703,9
2704,2
2705,1
2706,12
2707,17
2708,4
2709,3
2710,1
2711,57
2712,6
2713,1
2714,8
2715,2
2716,123
2717,5
2718,3
2719,42
2720,129
2721,2
2722,30
2723,1
2724,50
2725,9
2726,4
2727,3
2728,1
2729,3
2730,19
2731,3
2732,59
2733,1
2734,1
2735,1
2736,7
2737,8
2738,4
2739,3
2740,1
2741,7
2742,241
2743,1
2744,6
2745,1
2746,4
2747,21
2748,20
2749,10
2750,1
2751,8
2752,30
2753,26
2754,24
2755,12
2756,1
2757,14
2758,88
2759,6
2760,11
2761,90
2762,31
2763,4
2764,46
2765,2
2766,5
2767,2
2768,1
2769,14
2770,4
2771,2
2772,103
2773,6
2774,7
2775,43
2776,25
2777,8
2778,3
2779,1
2780,134
2781,29
2782,10
2783,1
2784,9
2785,7
2786,10
2787,3
2788,10
2789,1
2790,5
2791,2
2792,4
2793,37
2794,152
2795,1
2796,21
2797,9
2798,2
2799,13
2800,18
2801,26
2802,3
2803,4
2804,23
2805,50
2806,6
2807,2
2808,2
2809,2
2810,3
2811,8
2812,3
2813,1
2814,2
2815,53
2816,1
2817,1
2818,6
2819,49
2820,17
2821,55
2822,1
2823,48
2824,1
2825,14
2826,86
2827,10
2828,1
2829,5
2830,40
2831,12
2832,7
2833,55
2834,1
2835,1
2836,7
2837,17
2838,25
2839,1
2840,3
2841,14
2842,5
2843,145
2844,18
2845,1
2846,1
2847,2
2848,34
2849,1
2850,2
2851,6
2852,25
2853,25
2854,37
2855,1
2856,2
2857,13
2858,10
2859,1
2860,3
2861,5
2862,2
2863,1
2864,2
2865,8
2866,3
2867,3
2868,4
2869,18
2870,5
2871,2
2872,5
2873,67
2874,11
2875,45
2876,15
2877,6
2878,7
2879,9
2880,1
2881,1
2882,4
2883,1
2884,15
2885,12
2886,1
2887,1
2888,34
2889,4
2890,17
2891,11
2892,3
2893,2
2894,7
2895,60
2896,10
2897,1
2898,31
2899,2
2900,5
2901,8
2902,7
2903,2
2904,9
2905,1
2906,70
2907,9
2908,34
2909,2
2910,1
2911,2
2912,21
2913,15
2914,13
2915,1
2916,1
2917,7
2918,21
2919,43
2920,51
2921,7
2922,10
2923,10
2924,4
2925,26
2926,5
2927,1
2928,1
2929,78
2930,1
2931,12
2932,7
2933,10
2934,2
2935,18
2936,13
2937,3
2938,26
2939,6
2940,3
2941,86
2942,2
2943,3
2944,6
2945,5
2946,7
2947,1
2948,1
2949,8
2950,2
2951,93
2952,1
2953,5
2954,11
2955,1
2956,28
2957,49
2958,2
2959,4
2960,9
2961,17
2962,6
2963,1
2964,1
2965,1
2966,34
2967,2
2968,4
2969,17
2970,7
2971,29
2972,181
2973,15
2974,3
2975,21
2976,14
2977,30
2978,1
2979,25
2980,151
2981,7
2982,2
2983,2
2984,9
2985,14
2986,1
2987,8
2988,2
2989,5
2990,1
2991,59
2992,5
2993,64
2994,18
2995,1
