i,deg_inter
1131,177
1132,2
1133,4
1134,1
1135,37
1136,8
1137,5
1138,18
1139,71
1140,8
1141,1
1142,4
1143,13
1144,2
1145,7
1146,15
1147,9
1148,3
1149,5
1150,7
1151,6
1152,4
1153,3
1154,11
1155,2
1156,9
1157,38
1158,5
1159,1
1160,9
1161,13
1162,6
1163,12
1164,5
1165,3
1166,1
1167,18
1168,8
1169,9
1170,10
1171,7
1172,26
1173,1
1174,1
1175,4
1176,9
1177,3
1178,2
1179,40
1180,19
1181,8
1182,48
1183,10
1184,28
1185,10
1186,1
1187,8
1188,134
1189,41
1190,5
1191,8
1192,18
1193,27
1194,3
1195,8
1196,11
1197,8
1198,21
1199,60
1200,3
1201,1
1202,3
1203,11
1204,2
1205,1
1206,2
1207,1
1208,2
1209,2
1210,19
1211,71
1212,2
1213,9
1214,4
1215,13
1216,29
1217,20
1218,13
1219,6
1220,22
1221,11
1222,3
1223,23
1224,18
1225,3
1226,42
1227,15
1228,5
1229,13
1230,15
1231,7
1232,23
1233,4
1234,13
1235,3
1236,6
1237,14
1238,7
1239,3
1240,5
1241,4
1242,6
1243,3
1244,3
1245,11
1246,3
1247,6
1248,11
1249,7
1250,4
1251,7
1252,20
1253,1
1254,7
1255,3
1256,17
1257,1
1258,24
1259,12
1260,1
1261,15
1262,5
1263,10
1264,30
1265,2
1266,2
1267,25
1268,58
1269,3
1270,18
1271,2
1272,14
1273,4
1274,18
1275,5
1276,15
1277,3
1278,20
1279,9
1280,10
1281,3
1282,10
1283,14
1284,2
1285,105
1286,1
1287,48
1288,2
1289,4
1290,4
1291,20
1292,15
1293,2
1294,1
1295,63
1296,46
1297,20
1298,13
1299,1
1300,6
1301,5
1302,6
1303,6
1304,7
1305,4
1306,50
1307,2
1308,7
1309,1
1310,7
1311,5
1312,8
1313,10
1314,10
1315,4
1316,3
1317,7
1318,6
1319,4
1320,31
1321,21
1322,10
1323,73
1324,11
1325,6
1326,8
1327,17
1328,28
1329,10
1330,11
1331,21
1332,14
1333,7
1334,4
1335,6
1336,12
1337,6
1338,5
1339,4
1340,5
1341,4
1342,5
1343,6
1344,5
1345,3
1346,4
1347,28
1348,21
1349,3
1350,1
1351,2
1352,23
1353,12
1354,1
1355,9
1356,4
1357,5
1358,7
1359,3
1360,2
1361,6
1362,28
1363,2
1364,5
1365,6
1366,1
1367,4
1368,9
1369,7
1370,4
1371,20
1372,2
1373,13
1374,1
1375,8
1376,5
1377,6
1378,9
1379,13
1380,9
1381,16
1382,3
1383,6
1384,6
1385,3
1386,22
1387,5
1388,1
1389,11
1390,4
1391,3
1392,3
1393,3
1394,2
1395,3
1396,7
1397,7
1398,3
1399,2
1400,2
1401,1
1402,12
1403,6
1404,6
1405,1
1406,7
1407,4
1408,4
1409,2
1410,12
1411,3
1412,7
1413,1
1414,7
1415,8
1416,5
1417,2
1418,7
1419,20
1420,11
1421,10
1422,1
1423,11
1424,18
1425,5
1426,6
1427,12
1428,2
1429,1
1430,2
1431,5
1432,8
1433,4
1434,6
1435,6
1436,2
1437,10
1438,1
1439,2
1440,6
1441,1
1442,2
1443,6
1444,8
1445,1
1446,2
1447,3
1448,3
1449,2
1450,1
1451,4
1452,3
1453,9
1454,1
1455,4
1456,1
1457,1
1458,5
1459,4
1460,3
1461,11
1462,6
1463,1
1464,1
1465,2
1466,3
1467,1
1468,1
1469,1
1470,28
1471,63
1472,256
1473,1329
1474,13
1475,774
1476,21
1477,304
1478,40
1479,1130
1480,145
1481,28
1482,183
1483,13
1484,31
1485,660
1486,108
1487,1732
1488,201
1489,270
1490,432
1491,5
1492,330
1493,564
1494,76
1495,226
1496,148
1497,950
1498,109
1499,40
1500,481
1501,19
1502,17
1503,134
1504,21
1505,99
1506,1148
1507,50
1508,12
1509,858
1510,149
1511,1469
1512,7
1513,72
1514,71
1515,1391
1516,444
1517,62
1518,583
1519,16
1520,24
1521,66
1522,58
1523,22
1524,25
1525,180
1526,2300
1527,107
1528,285
1529,209
1530,12
1531,136
1532,431
1533,211
1534,26
1535,32
1536,211
1537,265
1538,16
1539,422
1540,48
1541,50
1542,10
1543,53
1544,307
1545,276
1546,62
1547,40
1548,36
1549,9
1550,130
1551,663
1552,17
1553,295
1554,366
1555,233
1556,66
1557,390
1558,12
1559,41
1560,222
1561,74
1562,55
1563,14
1564,343
1565,145
1566,83
1567,23
1568,95
1569,229
1570,638
1571,209
1572,59
1573,145
1574,964
1575,41
1576,428
1577,154
1578,60
1579,796
1580,14
1581,189
1582,62
1583,75
1584,113
1585,300
1586,105
1587,361
1588,24
1589,16
1590,41
1591,276
1592,189
1593,17
1594,2
1595,48
1596,271
1597,451
1598,316
1599,35
1600,75
1601,82
1602,230
1603,8
1604,37
1605,315
1606,70
1607,113
1608,250
1609,80
1610,28
1611,44
1612,5
1613,197
1614,660
1615,227
1616,13
1617,45
1618,25
1619,6
1620,55
1621,20
1622,710
1623,44
1624,43
1625,5
1626,28
1627,68
1628,20
1629,37
1630,274
1631,256
1632,21
1633,7
1634,100
1635,190
1636,240
1637,31
1638,5
1639,347
1640,237
1641,118
1642,13
1643,30
1644,21
1645,214
1646,45
1647,387
1648,184
1649,87
1650,101
1651,32
1652,68
1653,103
1654,30
1655,264
1656,88
1657,186
1658,59
1659,6
1660,189
1661,51
1662,21
1663,30
1664,23
1665,179
1666,213
1667,123
1668,68
1669,213
1670,41
1671,14
1672,42
1673,2
1674,21
1675,48
1676,280
1677,122
1678,97
1679,10
1680,35
1681,5
1682,44
1683,52
1684,63
1685,238
1686,17
1687,11
1688,98
1689,11
1690,210
1691,45
1692,252
1693,105
1694,100
1695,172
1696,12
1697,34
1698,43
1699,43
1700,294
1701,66
1702,79
1703,45
1704,53
1705,18
1706,243
1707,61
1708,11
1709,13
1710,84
1711,213
1712,142
1713,38
1714,13
1715,17
1716,15
1717,120
1718,29
1719,12
1720,98
1721,78
1722,22
1723,16
1724,18
1725,60
1726,11
1727,67
1728,9
1729,8
1730,124
1731,98
1732,22
1733,236
1734,77
1735,408
1736,17
1737,35
1738,114
1739,6
1740,71
1741,48
1742,160
1743,34
1744,6
1745,10
1746,81
1747,211
1748,74
1749,10
1750,153
1751,42
1752,58
1753,40
1754,55
1755,5
1756,175
1757,71
1758,9
1759,38
1760,135
1761,11
1762,38
1763,49
1764,28
1765,193
1766,45
1767,17
1768,31
1769,64
1770,439
1771,64
1772,29
1773,41
1774,119
1775,205
1776,19
1777,24
1778,26
1779,257
1780,34
1781,48
1782,95
1783,19
1784,123
1785,69
1786,37
1787,147
1788,3
1789,23
1790,37
1791,44
1792,5
1793,107
1794,351
1795,128
1796,56
1797,55
1798,14
1799,43
1800,44
1801,113
1802,26
1803,145
1804,27
1805,20
1806,83
1807,200
1808,30
1809,84
1810,60
1811,6
1812,288
1813,21
1814,145
1815,19
1816,144
1817,49
1818,81
1819,44
1820,11
1821,5
1822,13
1823,10
1824,22
1825,77
1826,108
1827,14
1828,15
1829,8
1830,216
1831,114
1832,5
1833,25
1834,17
1835,7
1836,16
1837,92
1838,18
1839,144
1840,41
1841,69
1842,7
1843,9
1844,38
1845,19
1846,98
1847,5
1848,9
1849,66
1850,18
1851,55
1852,121
1853,13
1854,99
1855,73
1856,12
1857,54
1858,178
1859,27
1860,38
1861,28
1862,80
1863,5
1864,44
1865,46
1866,11
1867,35
1868,62
1869,59
1870,46
1871,45
1872,25
1873,31
1874,27
1875,158
1876,29
1877,9
1878,25
1879,23
1880,35
1881,41
1882,52
1883,45
1884,73
1885,10
1886,10
1887,27
1888,38
1889,15
1890,17
1891,50
1892,30
1893,79
1894,164
1895,80
1896,17
1897,38
1898,70
1899,30
1900,11
1901,63
1902,21
1903,69
1904,33
1905,7
1906,11
1907,72
1908,51
1909,22
1910,26
1911,22
1912,31
1913,24
1914,21
1915,17
1916,73
1917,16
1918,9
1919,5
1920,27
1921,16
1922,50
1923,6
1924,10
1925,6
1926,9
1927,35
1928,22
1929,69
1930,19
1931,57
1932,46
1933,23
1934,39
1935,57
1936,24
1937,2
1938,5
1939,12
1940,10
1941,82
1942,85
1943,10
1944,143
1945,19
1946,21
1947,29
1948,34
1949,72
1950,8
1951,13
1952,77
1953,7
1954,52
1955,8
1956,45
1957,37
1958,20
1959,14
1960,62
1961,58
1962,35
1963,54
1964,16
1965,14
1966,83
1967,39
1968,20
1969,14
1970,34
1971,48
1972,8
1973,57
1974,17
1975,3
1976,5
1977,11
1978,7
1979,7
1980,27
1981,12
1982,10
1983,7
1984,3
1985,37
1986,11
1987,19
1988,6
1989,18
1990,3
1991,10
1992,56
1993,22
1994,3
1995,4
1996,57
1997,10
1998,25
1999,22
2000,4
2001,1
2002,8
2003,45
2004,8
2005,56
2006,18
2007,12
2008,17
2009,5
2010,4
2011,41
2012,31
2013,24
2014,32
2015,11
2016,8
2017,12
2018,64
2019,24
2020,91
2021,10
2022,26
2023,3
2024,5
2025,10
2026,18
2027,23
2028,24
2029,7
2030,51
2031,28
2032,21
2033,31
2034,78
2035,8
2036,6
2037,22
2038,40
2039,7
2040,6
2041,89
2042,5
2043,13
2044,4
2045,13
2046,34
2047,17
2048,32
2049,13
2050,3
2051,3
2052,13
2053,42
2054,23
2055,77
2056,7
2057,27
2058,13
2059,5
2060,45
2061,6
2062,11
2063,17
2064,67
2065,13
2066,7
2067,25
2068,5
2069,6
2070,86
2071,6
2072,12
2073,27
2074,6
2075,32
2076,3
2077,29
2078,51
2079,37
2080,13
2081,42
2082,13
2083,10
2084,64
2085,19
2086,28
2087,20
2088,6
2089,6
2090,11
2091,4
2092,3
2093,20
2094,19
2095,9
2096,31
2097,3
2098,5
2099,16
2100,26
2101,14
2102,14
2103,28
2104,44
2105,2
2106,21
2107,9
2108,17
2109,3
2110,27
2111,11
2112,4
2113,8
2114,4
2115,4
2116,4
2117,6
2118,7
2119,16
2120,13
2121,51
2122,5
2123,22
2124,6
2125,21
2126,7
2127,3
2128,9
2129,42
2130,28
2131,3
2132,22
2133,7
2134,54
2135,14
2136,6
2137,14
2138,22
2139,13
2140,2
2141,26
2142,7
2143,11
2144,47
2145,7
2146,36
2147,4
2148,3
2149,14
2150,13
2151,8
2152,7
2153,5
2154,9
2155,22
2156,2
2157,6
2158,3
2159,7
2160,14
2161,17
2162,5
2163,34
2164,3
2165,13
2166,5
2167,4
2168,5
2169,39
2170,51
2171,7
2172,29
2173,39
2174,9
2175,28
2176,9
2177,10
2178,65
2179,7
2180,35
2181,39
2182,24
2183,4
2184,13
2185,8
2186,17
2187,36
2188,4
2189,2
2190,77
2191,16
2192,30
2193,4
2194,14
2195,19
2196,14
2197,7
2198,16
2199,8
2200,6
2201,19
2202,61
2203,57
2204,7
2205,9
2206,26
2207,39
2208,22
2209,11
2210,2
2211,6
2212,47
2213,25
2214,34
2215,95
2216,8
2217,8
2218,21
2219,11
2220,6
2221,7
2222,15
2223,10
2224,39
2225,11
2226,27
2227,48
2228,8
2229,1
2230,6
2231,9
2232,1
2233,6
2234,33
2235,5
2236,8
2237,6
2238,10
2239,28
2240,3
2241,2
2242,9
2243,10
2244,13
2245,7
2246,11
2247,6
2248,7
2249,2
2250,7
2251,47
2252,5
2253,4
2254,17
2255,4
2256,17
2257,10
2258,8
2259,19
2260,7
2261,2
2262,6
2263,32
2264,12
2265,36
2266,12
2267,9
2268,15
2269,28
2270,9
2271,9
2272,7
2273,22
2274,7
2275,6
2276,1
2277,12
2278,29
2279,6
2280,9
2281,10
2282,7
2283,23
2284,16
2285,7
2286,9
2287,8
2288,19
2289,20
2290,6
2291,17
2292,7
2293,6
2294,23
2295,19
2296,4
2297,10
2298,5
2299,1
2300,15
2301,8
2302,15
2303,12
2304,8
2305,9
2306,2
2307,7
2308,5
2309,9
2310,21
2311,19
2312,11
2313,2
2314,5
2315,3
2316,9
2317,10
2318,4
2319,17
2320,4
2321,9
2322,6
2323,5
2324,16
2325,5
2326,10
2327,11
2328,2
2329,10
2330,1
2331,3
2332,5
2333,5
2334,6
2335,18
2336,9
2337,13
2338,29
2339,5
2340,1
2341,5
2342,5
2343,13
2344,5
2345,24
2346,3
2347,11
2348,5
2349,7
2350,12
2351,14
2352,3
2353,6
2354,4
2355,37
2356,214
2357,1
2358,21
2359,4
2360,4
2361,3
2362,3
2363,10
2364,32
2365,11
2366,4
2367,12
2368,4
2369,17
2370,9
2371,7
2372,6
2373,6
2374,5
2375,7
2376,13
2377,9
2378,3
2379,3
2380,28
2381,10
2382,3
2383,5
2384,15
2385,3
2386,6
2387,2
2388,4
2389,15
2390,1
2391,9
2392,4
2393,8
2394,3
2395,5
2396,9
2397,15
2398,5
2399,3
2400,4
2401,2
2402,4
2403,4
2404,33
2405,5
2406,3
2407,5
2408,3
2409,9
2410,6
2411,8
2412,3
2413,2
2414,3
2415,5
2416,5
2417,7
2418,5
2419,5
2420,6
2421,5
2422,6
2423,6
2424,27
2425,2
2426,8
2427,5
2428,9
2429,3
2430,4
2431,8
2432,5
2433,5
2434,25
2435,11
2436,2
2437,9
2438,5
2439,8
2440,4
2441,12
2442,5
2443,3
2444,19
2445,4
2446,8
2447,6
2448,4
2449,7
2450,5
2451,1
2452,11
2453,4
2454,2
2455,3
2456,12
2457,12
2458,13
2459,8
2460,5
2461,7
2462,1
2463,6
2464,4
2465,22
2466,6
2467,2
2468,13
2469,4
2470,3
2471,12
2472,6
2473,16
2474,7
2475,2
2476,6
2477,7
2478,4
2479,3
2480,5
2481,8
2482,1
2483,4
2484,122
2485,4
2486,4
2487,22
2488,5
2489,10
2490,6
2491,6
2492,17
2493,2
2494,7
2495,2
2496,2
2497,8
2498,4
2499,8
2500,6
2501,105
2502,8
2503,2
2504,1
2505,1
2506,4
2507,5
2508,6
2509,12
2510,5
2511,5
2512,5
2513,10
2514,4
2515,15
2516,1
2517,6
2518,1
2519,5
2520,2
2521,3
2522,3
2523,1
2524,1
2525,15
2526,7
2527,7
2528,3
2529,6
2530,2
2531,4
2532,2
2533,6
2534,5
2535,17
2536,2
2537,5
2538,3
2539,3
2540,3
2541,16
2542,1
2543,5
2544,7
2545,5
2546,8
2547,5
2548,2
2549,7
2550,3
2551,3
2552,16
2553,6
2554,12
2555,5
2556,11
2557,22
2558,14
2559,1
2560,3
2561,6
2562,1
2563,3
2564,2
2565,4
2566,4
2567,4
2568,6
2569,5
2570,2
2571,181
2572,196
2573,4
2574,21
2575,53
2576,2
2577,5
2578,6
2579,3
2580,5
2581,1
2582,4
2583,2
2584,3
2585,76
2586,7
2587,42
2588,20
2589,78
2590,3
2591,6
2592,6
2593,79
2594,5
2595,69
2596,9
2597,11
2598,62
2599,11
2600,11
2601,3
2602,15
2603,117
2604,7
2605,18
2606,1
2607,3
2608,2
2609,6
2610,1
2611,21
2612,14
2613,12
2614,4
2615,3
2616,59
2617,5
2618,1
2619,7
2620,8
2621,49
2622,25
2623,7
2624,5
2625,4
2626,17
2627,66
2628,5
2629,3
2630,25
2631,5
2632,79
2633,5
2634,9
2635,6
2636,96
2637,20
2638,18
2639,2
2640,15
2641,6
2642,13
2643,17
2644,5
2645,60
2646,13
2647,2
2648,5
2649,5
2650,29
2651,4
2652,2
2653,104
2654,1
2655,9
2656,1
2657,5
2658,6
2659,68
2660,4
2661,13
2662,5
2663,7
2664,31
2665,2
2666,2
2667,9
2668,11
2669,12
2670,1
2671,23
2672,5
2673,13
2674,1
2675,4
2676,27
2677,32
2678,5
2679,5
2680,4
2681,2
2682,27
2683,20
2684,1
2685,4
2686,8
2687,4
2688,1
2689,25
2690,1
2691,4
2692,8
2693,4
2694,4
2695,10
2696,3
2697,26
2698,4
2699,20
2700,20
2701,28
2702,7
2703,11
2704,6
2705,19
2706,8
2707,10
2708,4
2709,2
2710,5
2711,31
2712,33
2713,6
2714,1
2715,123
2716,9
2717,6
2718,18
2719,25
2720,8
2721,7
2722,5
2723,8
2724,5
2725,3
2726,3
2727,2
2728,25
2729,2
2730,9
2731,6
2732,5
2733,10
2734,6
2735,2
2736,5
2737,10
2738,4
2739,9
2740,5
2741,12
2742,9
2743,6
2744,6
2745,36
2746,79
2747,5
2748,8
2749,4
2750,2
2751,13
2752,9
2753,1
2754,5
2755,1
2756,6
2757,3
2758,61
2759,6
2760,7
2761,5
2762,7
2763,6
2764,1
2765,19
2766,2
2767,6
2768,24
2769,4
2770,10
2771,4
2772,5
2773,4
2774,2
2775,7
2776,4
2777,15
2778,21
2779,2
2780,4
2781,3
2782,5
2783,26
2784,17
2785,6
2786,5
2787,6
2788,53
2789,5
2790,23
2791,10
2792,6
2793,4
2794,6
2795,5
2796,9
2797,2
2798,18
2799,4
2800,22
2801,7
2802,5
2803,9
2804,4
2805,2
2806,5
2807,4
2808,8
2809,5
2810,6
2811,4
2812,11
2813,5
2814,3
2815,3
2816,2
2817,19
2818,14
2819,5
2820,62
2821,3
2822,5
2823,1
2824,1
2825,12
2826,15
2827,22
2828,4
2829,5
2830,12
2831,3
2832,1
2833,4
2834,5
2835,4
2836,7
2837,28
2838,5
2839,27
2840,7
2841,1
2842,5
2843,4
2844,11
2845,4
2846,24
2847,2
2848,5
2849,7
2850,21
2851,7
2852,11
2853,8
2854,15
2855,45
2856,28
2857,1
2858,5
2859,2
2860,1
2861,2
2862,5
2863,6
2864,11
2865,7
2866,2
2867,5
2868,3
2869,7
2870,1
2871,2
2872,2
2873,2
2874,3
2875,10
2876,7
2877,1
2878,1
2879,11
2880,5
2881,2
2882,1
2883,1
2884,3
2885,1
2886,2
2887,1
2888,2
2889,1
2890,2828
2891,102
2892,499
2893,175
2894,421
2895,28
2896,458
2897,373
2898,143
2899,28
2900,227
2901,141
2902,611
2903,203
2904,524
2905,725
2906,327
2907,103
2908,411
2909,103
2910,2158
2911,287
2912,149
2913,367
2914,1263
2915,111
2916,103
2917,4
2918,4
2919,326
2920,144
2921,988
2922,557
2923,28
2924,377
2925,194
2926,214
2927,44
2928,642
2929,150
2930,87
2931,15
2932,991
2933,170
2934,23
2935,541
2936,21
2937,14
2938,44
2939,250
2940,58
2941,514
2942,275
2943,239
2944,111
2945,28
2946,108
2947,212
2948,136
2949,102
2950,241
2951,171
2952,212
2953,67
2954,199
2955,26
2956,41
2957,140
2958,146
2959,77
2960,496
2961,137
2962,619
2963,88
2964,110
2965,171
2966,248
2967,52
2968,157
2969,188
2970,41
2971,93
2972,918
2973,278
2974,622
2975,269
2976,94
2977,63
2978,123
2979,50
2980,57
2981,21
2982,4
2983,245
2984,25
2985,67
2986,100
2987,53
2988,35
2989,69
2990,241
2991,140
2992,317
2993,243
